times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586889532.698,0.8,0.8,0.54906,0.54913,74
1586889533.033,0.84,1.0,0.45903,0.10263,74
1586889533.436,0.84,0.88,0.46291,0.36904,75
1586889533.872,0.96,0.72,0.18848,0.71888,75
1586889534.269,0.92,0.92,0.28089,0.281,75
1586889534.674,0.88,0.8,0.36798,0.54242,75
1586889535.083,0.92,0.92,0.28123,0.28164,75
1586889535.511,0.96,0.8,0.19421,0.54301,75
1586889535.85,0.92,1.0,0.28155,0.10599,75
1586889536.247,1.0,0.88,0.1052,0.36956,76
1586889536.646,0.92,0.72,0.28064,0.73148,76
1586889537.044,0.8,0.92,0.55068,0.27961,76
1586889537.443,1.0,0.8,0.09847,0.55466,76
1586889537.854,0.96,0.92,0.18795,0.27915,76
1586889538.245,0.88,0.8,0.37571,0.56171,76
1586889538.575,1.0,1.0,0.09038,0.08693,76
1586889538.969,0.88,0.88,0.37455,0.37596,77
1586889539.367,0.88,0.72,0.37532,0.76845,77
1586889539.769,0.88,0.92,0.37674,0.2785,77
1586889540.203,0.92,0.8,0.27878,0.57414,77
1586889540.624,0.88,0.92,0.37973,0.27865,77
1586889541.03,0.88,0.8,0.37669,0.57186,77
1586889541.364,0.8,1.0,0.57134,0.08698,77
1586889541.759,0.84,0.88,0.47018,0.37278,78
1586889542.154,0.96,0.72,0.18454,0.73979,78
1586889542.554,0.84,0.92,0.46349,0.27988,78
1586889542.961,0.84,0.8,0.46002,0.5443,78
1586889543.359,0.84,0.92,0.45635,0.28266,78
1586889543.755,0.84,0.8,0.45297,0.53209,78
1586889544.09,0.92,1.0,0.28473,0.126,78
1586889544.484,0.84,0.88,0.44647,0.36698,79
1586889544.882,0.92,0.72,0.28842,0.67334,79
1586889545.322,0.92,0.92,0.2903,0.29159,79
1586889545.735,0.8,0.8,0.52129,0.51602,79
1586889546.133,0.92,0.92,0.2935,0.29531,79
1586889546.531,0.92,0.8,0.29484,0.51394,79
1586889546.86,0.84,1.0,0.44412,0.15267,79
1586889547.259,0.92,0.88,0.29633,0.36896,80
1586889547.659,0.96,0.72,0.22343,0.6588,80
1586889548.053,0.92,0.92,0.29564,0.29433,80
1586889548.452,0.92,0.8,0.29437,0.51696,80
1586889548.855,0.96,0.92,0.21817,0.29102,80
1586889549.248,1.0,0.8,0.13856,0.52432,80
1586889549.578,0.92,1.0,0.28829,0.12348,80
1586889549.972,0.8,0.88,0.52893,0.36722,81
1586889550.413,0.92,0.72,0.28354,0.70615,81
1586889550.824,0.88,0.92,0.36768,0.28165,81
1586889551.218,0.84,0.8,0.454,0.54279,81
1586889551.618,0.84,0.92,0.45574,0.28129,81
1586889552.021,0.88,0.8,0.3688,0.54416,81
1586889552.354,0.88,1.0,0.36802,0.10611,81
1586889552.756,0.96,0.88,0.19324,0.3691,82
1586889553.156,0.96,0.72,0.19293,0.72558,82
1586889553.563,0.8,0.92,0.54718,0.28014,82
1586889553.965,0.92,0.8,0.2802,0.54791,82
1586889554.36,0.84,0.92,0.45833,0.28067,82
1586889554.759,0.88,0.8,0.36901,0.54547,82
1586889555.118,0.96,1.0,0.19288,0.10481,82
1586889555.535,1.0,0.88,0.10428,0.36955,83
1586889555.936,0.96,0.72,0.1912,0.73075,83
1586889556.339,0.88,0.92,0.36983,0.2793,83
1586889556.74,0.92,0.8,0.27979,0.55537,83
1586889557.137,0.84,0.92,0.46289,0.27942,83
1586889557.539,0.88,0.8,0.37119,0.55585,83
1586889557.881,0.88,1.0,0.37101,0.09609,83
1586889558.28,0.96,0.88,0.1873,0.37147,84
1586889558.68,0.96,0.72,0.18599,0.74189,84
1586889559.078,0.8,0.92,0.55634,0.2789,84
1586889559.476,0.92,0.8,0.27574,0.55479,84
1586889559.875,1.0,0.92,0.09497,0.27941,84
1586889560.315,1.0,0.8,0.09379,0.55959,84
1586889560.664,0.96,1.0,0.18515,0.08895,84
1586889561.057,0.92,0.88,0.27773,0.37529,85
1586889561.458,1.0,0.72,0.08517,0.77232,85
1586889561.862,0.92,0.92,0.27879,0.27836,85
1586889562.257,0.92,0.8,0.27834,0.58676,85
1586889562.658,0.92,0.92,0.27701,0.27953,85
1586889563.057,0.88,0.8,0.39134,0.594,85
1586889563.394,0.88,1.0,0.38295,0.07048,85
1586889563.793,0.84,0.88,0.48868,0.38316,86
1586889564.188,0.92,0.72,0.28799,0.79245,86
1586889564.587,0.84,0.92,0.48351,0.27837,86
1586889564.99,0.84,0.8,0.48004,0.57401,86
1586889565.426,0.96,0.92,0.18035,0.2787,86
1586889565.832,0.96,0.8,0.18023,0.56533,86
1586889566.16,0.84,1.0,0.46862,0.09178,86
1586889566.557,0.88,0.88,0.37283,0.3714,87
1586889566.963,0.84,0.72,0.46124,0.72826,87
1586889567.363,0.84,0.92,0.45886,0.28078,87
1586889567.766,0.84,0.8,0.45347,0.5364,87
1586889568.167,0.84,0.92,0.45124,0.28542,87
1586889568.572,0.8,0.8,0.52855,0.52414,87
1586889568.904,0.88,1.0,0.36695,0.13957,87
1586889569.309,0.96,0.88,0.21353,0.3681,88
1586889569.703,0.92,0.72,0.29268,0.66171,88
1586889570.133,0.92,0.92,0.30242,0.2952,88
1586889570.552,0.96,0.8,0.22021,0.51488,88
1586889570.966,0.84,0.92,0.43964,0.29575,88
1586889571.364,0.88,0.8,0.36871,0.51501,88
1586889571.7,0.88,1.0,0.36664,0.1448,88
1586889572.103,0.88,0.88,0.36628,0.36822,89
1586889572.502,0.88,0.72,0.36723,0.67232,89
1586889572.906,0.96,0.92,0.21522,0.28906,89
1586889573.304,0.88,0.8,0.36597,0.52915,89
1586889573.698,0.84,0.92,0.45129,0.28621,89
1586889574.096,0.84,0.8,0.4493,0.53187,89
1586889574.428,0.92,1.0,0.28709,0.11444,89
1586889574.827,0.88,0.88,0.36677,0.36783,90
1586889575.26,0.92,0.72,0.28321,0.71118,90
1586889575.674,0.92,0.92,0.28254,0.28182,90
1586889576.072,0.96,0.8,0.19085,0.54535,90
1586889576.474,0.84,0.92,0.45725,0.2808,90
1586889576.874,0.96,0.8,0.19221,0.54981,90
1586889577.203,0.96,1.0,0.19042,0.09601,90
1586889577.604,0.88,0.88,0.3714,0.37241,91
1586889578.006,0.92,0.72,0.27926,0.75164,91
1586889578.402,0.92,0.92,0.27901,0.27885,91
1586889578.801,0.88,0.8,0.37473,0.56832,91
1586889579.2,0.84,0.92,0.47181,0.27885,91
1586889579.604,0.84,0.8,0.47042,0.56101,91
1586889579.935,0.92,1.0,0.2791,0.09444,91
1586889580.372,0.8,0.88,0.55687,0.37004,92
1586889580.789,0.84,0.72,0.45976,0.71455,92
1586889581.192,0.88,0.92,0.3684,0.28382,92
1586889581.601,0.92,0.8,0.28382,0.52975,92
1586889581.999,0.92,0.92,0.28565,0.28713,92
1586889582.408,0.88,0.8,0.36693,0.52379,92
1586889582.746,1.0,1.0,0.1265,0.13208,92
1586889583.158,1.0,0.88,0.13208,0.36693,93
1586889583.557,0.96,0.72,0.2082,0.6914,93
1586889583.962,0.96,0.92,0.20479,0.28393,93
1586889584.37,0.84,0.8,0.44614,0.53791,93
1586889584.773,0.8,0.92,0.5334,0.28253,93
1586889585.209,0.88,0.8,0.36798,0.53937,93
1586889585.561,0.96,1.0,0.19674,0.10877,93
1586889585.966,0.92,0.88,0.28186,0.36889,94
1586889586.373,0.96,0.72,0.19368,0.7267,94
1586889586.781,0.76,0.92,0.63746,0.28058,94
1586889587.187,0.96,0.8,0.19148,0.54919,94
1586889587.599,0.96,0.92,0.19075,0.27995,94
1586889588.011,0.84,0.8,0.46137,0.5527,94
1586889588.354,0.88,1.0,0.37081,0.0982,94
1586889588.756,0.88,0.88,0.37075,0.3705,95
1586889589.16,1.0,0.72,0.09911,0.73571,95
1586889589.564,0.88,0.92,0.37097,0.27968,95
1586889589.973,0.96,0.8,0.18816,0.55674,95
1586889590.42,0.92,0.92,0.27943,0.27921,95
1586889590.842,0.84,0.8,0.46599,0.55937,95
1586889591.178,0.96,1.0,0.18212,0.09126,95
1586889591.596,0.88,0.88,0.37303,0.3731,96
1586889592.001,1.0,0.72,0.09107,0.75463,96
1586889592.406,0.96,0.92,0.18378,0.27879,96
1586889592.818,0.8,0.8,0.56897,0.56879,96
1586889593.232,0.88,0.92,0.37546,0.27883,96
1586889593.648,0.88,0.8,0.37496,0.56454,96
1586889594.027,0.88,1.0,0.37412,0.09118,96
1586889594.433,0.84,0.88,0.46702,0.37155,97
1586889594.843,0.96,0.72,0.18754,0.73415,97
1586889595.292,0.84,0.92,0.4616,0.28057,97
1586889595.719,0.92,0.8,0.28057,0.54443,97
1586889596.13,0.88,0.92,0.36895,0.28199,97
1586889596.542,0.88,0.8,0.36831,0.53761,97
1586889596.925,0.92,1.0,0.27836,0.11587,97
1586889597.332,1.0,0.88,0.11587,0.36752,98
1586889597.745,0.84,0.72,0.4515,0.70184,98
1586889598.165,0.92,0.92,0.28381,0.28385,98
1586889598.58,0.88,0.8,0.3674,0.53418,98
1586889599.09,0.92,0.92,0.28396,0.28384,98
1586889599.506,0.96,0.8,0.20028,0.53637,98
1586889599.86,0.92,1.0,0.28325,0.11183,98
1586889600.388,0.92,0.88,0.28258,0.3684,99
1586889600.884,0.92,0.72,0.28186,0.72035,99
1586889601.348,0.96,0.92,0.19333,0.28035,99
1586889601.772,0.92,0.8,0.28035,0.55411,99
1586889602.216,0.92,0.92,0.2797,0.27923,99
1586889602.647,0.96,0.8,0.18595,0.56537,99
1586889603.01,1.0,1.0,0.08789,0.08168,99
1586889603.435,0.84,0.88,0.47589,0.37924,100
1586889603.883,0.88,0.72,0.37924,0.78579,100
1586889604.309,0.84,0.92,0.48176,0.27904,100
1586889604.739,0.84,0.8,0.48131,0.57839,100
1586889605.191,0.96,0.92,0.17904,0.27882,100
1586889605.631,0.92,0.8,0.27882,0.57423,100
1586889605.984,0.88,1.0,0.37727,0.084,100
